11.1.1.0
#HEADER
ET_UserInputEvents
ET_UserInputEvents



#METADATA
FieldName,Timestamp,InputEventSource,Data,StimType
DataType,Double,String,String,String
Unit,millisecond,,,Stimulus type
Description,iMotions timestamp,Input source i.e. Mouse or API,Serialized data,Type of stimulus
Category,Timestamp,InputEvent,Data,Slide
#DATA
RowNumber,Timestamp,InputEventSource,Data,StimType
0,117.0553,Mouse,Id:M;X:1073;Y:542,TestImage
1,141.36009999999999,Mouse,Id:M;X:1367;Y:571,TestImage
2,164.67189999999999,Mouse,Id:M;X:1495;Y:588,TestImage
3,189.47280000000001,Mouse,Id:M;X:1511;Y:583,TestImage
4,797.21079999999995,Mouse,Id:M;X:1514;Y:582,TestImage
5,821.04489999999998,Mouse,Id:M;X:1597;Y:576,TestImage
6,844.82439999999997,Mouse,Id:M;X:1692;Y:583,TestImage
7,869.12869999999998,Mouse,Id:M;X:1750;Y:607,TestImage
8,892.93679999999995,Mouse,Id:M;X:1824;Y:639,TestImage
9,917.24120000000005,Mouse,Id:M;X:1901;Y:675,TestImage
10,941.04909999999995,Mouse,Id:M;X:1929;Y:682,TestImage
11,964.85659999999996,Mouse,Id:M;X:1923;Y:682,TestImage
12,989.16510000000005,Mouse,Id:M;X:1928;Y:678,TestImage
13,1013.0713,Mouse,Id:M;X:1932;Y:673,TestImage
14,1036.9078,Mouse,Id:M;X:1931;Y:668,TestImage
15,1061.1833999999999,Mouse,Id:M;X:1931;Y:662,TestImage
16,1084.9933000000001,Mouse,Id:M;X:1928;Y:653,TestImage
17,1109.3014000000001,Mouse,Id:M;X:1922;Y:645,TestImage
18,1134.5923,Mouse,Id:M;X:1919;Y:641,TestImage
19,2763.0596999999998,BrowserNav,Id:N;NavigationEvent:NavigateComplete;Url:https%3a%2f%2feduagentsystem.streamlit.app%2f,TestImage
20,2763.5560999999998,BrowserScroll,Id:S;ScreenLeft:0;ScreenTop:127;ClientRect:Empty;ScrollRect:Empty,TestImage
21,3935.3017,BrowserNav,Id:N;NavigationEvent:DocumentComplete;Url:https%3a%2f%2feduagentsystem.streamlit.app%2f,TestImage
22,3935.7963,BrowserScroll,"Id:S;ScreenLeft:0;ScreenTop:127;ClientRect:0,0,1920,953;ScrollRect:0,0,1920,953",TestImage
23,8428.8865999999998,Mouse,Id:M;X:1920;Y:639,TestImage
24,8453.1901999999991,Mouse,Id:M;X:1928;Y:632,TestImage
25,8476.9982999999993,Mouse,Id:M;X:1927;Y:627,TestImage
26,8500.8372999999992,Mouse,Id:M;X:1926;Y:623,TestImage
27,8525.1097000000009,Mouse,Id:M;X:1921;Y:621,TestImage
28,8548.9187999999995,Mouse,Id:M;X:1924;Y:621,TestImage
29,8573.2592999999997,Mouse,Id:M;X:1922;Y:621,TestImage
30,8597.0308999999997,Mouse,Id:M;X:1920;Y:621,TestImage
31,8620.8392000000003,Mouse,Id:M;X:1921;Y:621,TestImage
